id,name,type
885,93-51-6,COMPOUND
886,1197-01-9,COMPOUND
887,104-53-0,COMPOUND
888,2445-76-3,COMPOUND
889,6812-78-8,COMPOUND
890,14667-55-1,COMPOUND
891,75640-26-5,COMPOUND
892,91052-72-1,COMPOUND
893,600-14-6,COMPOUND
894,93-16-3,COMPOUND
895,534-15-6,COMPOUND
896,1125-21-9,COMPOUND
897,81925-81-7,COMPOUND
898,6485-40-1,COMPOUND
899,3407-39-7,COMPOUND
900,590-00-1,COMPOUND
901,42474-44-2,COMPOUND
902,2463-53-8,COMPOUND
903,67860-38-2,COMPOUND
904,288-47-1,COMPOUND
