compound_id,rel_type,ingredient_id
862,COMP_PART_OF,94
734,COMP_PART_OF,94
798,COMP_PART_OF,94
397,COMP_PART_OF,94
249,COMP_PART_OF,94
50,COMP_PART_OF,94
806,COMP_PART_OF,94
1092,COMP_PART_OF,94
1013,COMP_PART_OF,94
947,COMP_PART_OF,94
684,COMP_PART_OF,94
131,COMP_PART_OF,94
136,COMP_PART_OF,94
1104,COMP_PART_OF,94
387,COMP_PART_OF,1432
650,COMP_PART_OF,1432
375,COMP_PART_OF,1432
519,COMP_PART_OF,1432
587,COMP_PART_OF,1432
171,COMP_PART_OF,1432
740,COMP_PART_OF,645
1017,COMP_PART_OF,645
450,COMP_PART_OF,645
227,COMP_PART_OF,645
773,COMP_PART_OF,645
1,COMP_PART_OF,645
110,COMP_PART_OF,645
597,COMP_PART_OF,645
1041,COMP_PART_OF,645
1045,COMP_PART_OF,645
164,COMP_PART_OF,645
61,COMP_PART_OF,645
971,COMP_PART_OF,645
862,COMP_PART_OF,645
401,COMP_PART_OF,645
804,COMP_PART_OF,645
910,COMP_PART_OF,645
536,COMP_PART_OF,645
26,COMP_PART_OF,131
433,COMP_PART_OF,581
921,COMP_PART_OF,581
433,COMP_PART_OF,956
272,COMP_PART_OF,19
275,COMP_PART_OF,19
284,COMP_PART_OF,19
285,COMP_PART_OF,19
568,COMP_PART_OF,19
292,COMP_PART_OF,19
837,COMP_PART_OF,19
841,COMP_PART_OF,19
1,COMP_PART_OF,19
19,COMP_PART_OF,19
299,COMP_PART_OF,19
1028,COMP_PART_OF,19
584,COMP_PART_OF,19
589,COMP_PART_OF,19
595,COMP_PART_OF,19
600,COMP_PART_OF,19
40,COMP_PART_OF,19
317,COMP_PART_OF,19
871,COMP_PART_OF,19
425,COMP_PART_OF,19
880,COMP_PART_OF,19
609,COMP_PART_OF,19
54,COMP_PART_OF,19
724,COMP_PART_OF,19
617,COMP_PART_OF,19
890,COMP_PART_OF,19
619,COMP_PART_OF,19
893,COMP_PART_OF,19
338,COMP_PART_OF,19
67,COMP_PART_OF,19
69,COMP_PART_OF,19
345,COMP_PART_OF,19
72,COMP_PART_OF,19
73,COMP_PART_OF,19
902,COMP_PART_OF,19
903,COMP_PART_OF,19
357,COMP_PART_OF,19
636,COMP_PART_OF,19
909,COMP_PART_OF,19
912,COMP_PART_OF,19
533,COMP_PART_OF,19
915,COMP_PART_OF,19
916,COMP_PART_OF,19
560,COMP_PART_OF,19
918,COMP_PART_OF,19
93,COMP_PART_OF,19
926,COMP_PART_OF,19
657,COMP_PART_OF,19
798,COMP_PART_OF,19
384,COMP_PART_OF,19
107,COMP_PART_OF,19
646,COMP_PART_OF,19
670,COMP_PART_OF,19
398,COMP_PART_OF,19
673,COMP_PART_OF,19
118,COMP_PART_OF,19
400,COMP_PART_OF,19
1079,COMP_PART_OF,19
136,COMP_PART_OF,19
947,COMP_PART_OF,19
215,COMP_PART_OF,19
794,COMP_PART_OF,19
1082,COMP_PART_OF,19
419,COMP_PART_OF,19
697,COMP_PART_OF,19
422,COMP_PART_OF,19
424,COMP_PART_OF,19
147,COMP_PART_OF,19
431,COMP_PART_OF,19
978,COMP_PART_OF,19
982,COMP_PART_OF,19
158,COMP_PART_OF,19
984,COMP_PART_OF,19
166,COMP_PART_OF,19
995,COMP_PART_OF,19
481,COMP_PART_OF,19
730,COMP_PART_OF,19
734,COMP_PART_OF,19
1004,COMP_PART_OF,19
1007,COMP_PART_OF,19
742,COMP_PART_OF,19
189,COMP_PART_OF,19
195,COMP_PART_OF,19
196,COMP_PART_OF,19
198,COMP_PART_OF,19
1025,COMP_PART_OF,19
1027,COMP_PART_OF,19
203,COMP_PART_OF,19
487,COMP_PART_OF,19
205,COMP_PART_OF,19
764,COMP_PART_OF,19
1042,COMP_PART_OF,19
84,COMP_PART_OF,19
199,COMP_PART_OF,19
1049,COMP_PART_OF,19
772,COMP_PART_OF,19
1054,COMP_PART_OF,19
229,COMP_PART_OF,19
776,COMP_PART_OF,19
1064,COMP_PART_OF,19
786,COMP_PART_OF,19
667,COMP_PART_OF,19
524,COMP_PART_OF,19
526,COMP_PART_OF,19
529,COMP_PART_OF,19
243,COMP_PART_OF,19
942,COMP_PART_OF,19
249,COMP_PART_OF,19
806,COMP_PART_OF,19
554,COMP_PART_OF,19
1013,COMP_PART_OF,19
811,COMP_PART_OF,19
172,COMP_PART_OF,19
813,COMP_PART_OF,19
262,COMP_PART_OF,19
550,COMP_PART_OF,19
818,COMP_PART_OF,19
645,COMP_PART_OF,19
1104,COMP_PART_OF,19
556,COMP_PART_OF,19
433,COMP_PART_OF,1042
132,COMP_PART_OF,1042
433,COMP_PART_OF,1359
376,COMP_PART_OF,458
110,COMP_PART_OF,458
155,COMP_PART_OF,458
559,COMP_PART_OF,261
827,COMP_PART_OF,261
285,COMP_PART_OF,261
631,COMP_PART_OF,261
292,COMP_PART_OF,261
294,COMP_PART_OF,261
1074,COMP_PART_OF,261
465,COMP_PART_OF,261
841,COMP_PART_OF,261
19,COMP_PART_OF,261
299,COMP_PART_OF,261
847,COMP_PART_OF,261
586,COMP_PART_OF,261
26,COMP_PART_OF,261
598,COMP_PART_OF,261
599,COMP_PART_OF,261
37,COMP_PART_OF,261
40,COMP_PART_OF,261
871,COMP_PART_OF,261
322,COMP_PART_OF,261
317,COMP_PART_OF,261
59,COMP_PART_OF,261
890,COMP_PART_OF,261
384,COMP_PART_OF,261
619,COMP_PART_OF,261
893,COMP_PART_OF,261
126,COMP_PART_OF,261
971,COMP_PART_OF,261
72,COMP_PART_OF,261
999,COMP_PART_OF,261
357,COMP_PART_OF,261
84,COMP_PART_OF,261
909,COMP_PART_OF,261
363,COMP_PART_OF,261
89,COMP_PART_OF,261
369,COMP_PART_OF,261
91,COMP_PART_OF,261
93,COMP_PART_OF,261
926,COMP_PART_OF,261
657,COMP_PART_OF,261
798,COMP_PART_OF,261
103,COMP_PART_OF,261
928,COMP_PART_OF,261
661,COMP_PART_OF,261
107,COMP_PART_OF,261
108,COMP_PART_OF,261
756,COMP_PART_OF,261
114,COMP_PART_OF,261
669,COMP_PART_OF,261
670,COMP_PART_OF,261
671,COMP_PART_OF,261
673,COMP_PART_OF,261
118,COMP_PART_OF,261
675,COMP_PART_OF,261
943,COMP_PART_OF,261
115,COMP_PART_OF,261
409,COMP_PART_OF,261
182,COMP_PART_OF,261
223,COMP_PART_OF,261
136,COMP_PART_OF,261
689,COMP_PART_OF,261
1082,COMP_PART_OF,261
960,COMP_PART_OF,261
693,COMP_PART_OF,261
696,COMP_PART_OF,261
422,COMP_PART_OF,261
